gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G020450.Wm82.a4.v1	0	0	0	0
Glyma.01G020500.Wm82.a4.v1	6	0	4	1
Glyma.01G020600.Wm82.a4.v1	0	0	0	0
Glyma.01G020700.Wm82.a4.v1	0	0	0	0
Glyma.01G020800.Wm82.a4.v1	13	6	7	9
Glyma.01G020900.Wm82.a4.v1	8870	6715	1973	4350
Glyma.01G021000.Wm82.a4.v1	11	0	3	9
Glyma.01G021100.Wm82.a4.v1	22	38	6	18
Glyma.01G021200.Wm82.a4.v1	143	111	25	31
Glyma.01G021301.Wm82.a4.v1	99	225	59	101
Glyma.01G021400.Wm82.a4.v1	317	504	181	400
Glyma.01G021450.Wm82.a4.v1	0	0	0	2
Glyma.01G021500.Wm82.a4.v1	0	12	0	1
Glyma.01G021600.Wm82.a4.v1	405	358	152	331
Glyma.01G021700.Wm82.a4.v1	0	0	0	0
Glyma.01G021800.Wm82.a4.v1	0	0	0	0
Glyma.01G021900.Wm82.a4.v1	0	0	0	0
Glyma.01G022100.Wm82.a4.v1	1443	1518	616	1101
Glyma.01G022300.Wm82.a4.v1	0	0	1	4
Glyma.01G022400.Wm82.a4.v1	27	30	86	98
Glyma.01G022500.Wm82.a4.v1	70	99	82	109
Glyma.01G022600.Wm82.a4.v1	184	203	44	201
Glyma.01G022700.Wm82.a4.v1	172	133	55	138
Glyma.01G022800.Wm82.a4.v1	63	50	47	64
Glyma.01G022900.Wm82.a4.v1	222	76	39	102
Glyma.01G023000.Wm82.a4.v1	587	586	169	373
Glyma.01G023100.Wm82.a4.v1	0	0	0	0
Glyma.01G023200.Wm82.a4.v1	248	163	123	154
Glyma.01G023300.Wm82.a4.v1	1261	1587	463	949
Glyma.01G023400.Wm82.a4.v1	0	0	0	0
Glyma.01G023500.Wm82.a4.v1	185	106	51	124
Glyma.01G023600.Wm82.a4.v1	155	226	59	131
Glyma.01G023700.Wm82.a4.v1	196	158	41	140
Glyma.01G023767.Wm82.a4.v1	12	35	6	28
Glyma.01G023833.Wm82.a4.v1	0	0	0	0
Glyma.01G023900.Wm82.a4.v1	151	169	59	190
Glyma.01G024000.Wm82.a4.v1	1685	1493	1451	2676
Glyma.01G024100.Wm82.a4.v1	0	0	0	0
Glyma.01G024200.Wm82.a4.v1	0	0	0	0
Glyma.01G024300.Wm82.a4.v1	40	9	18	24
Glyma.01G024400.Wm82.a4.v1	13	0	0	0
Glyma.01G024500.Wm82.a4.v1	24	0	24	42
Glyma.01G024600.Wm82.a4.v1	253	245	80	222
Glyma.01G024700.Wm82.a4.v1	244	125	46	151
Glyma.01G024800.Wm82.a4.v1	0	0	38	42
Glyma.01G024900.Wm82.a4.v1	0	0	0	1
Glyma.01G025000.Wm82.a4.v1	0	0	0	2
Glyma.01G025100.Wm82.a4.v1	7246	10098	2458	5996
Glyma.01G025200.Wm82.a4.v1	5	8	0	1
Glyma.01G025300.Wm82.a4.v1	112	175	47	117
Glyma.01G025400.Wm82.a4.v1	0	0	0	0
Glyma.01G025500.Wm82.a4.v1	88	105	102	171
Glyma.01G025600.Wm82.a4.v1	129	176	119	279
Glyma.01G025700.Wm82.a4.v1	0	0	0	0
Glyma.01G025800.Wm82.a4.v1	124	112	36	149
Glyma.01G025900.Wm82.a4.v1	0	0	0	0
Glyma.01G026000.Wm82.a4.v1	162	202	72	139
Glyma.01G026100.Wm82.a4.v1	2407	2639	1059	1859
Glyma.01G026200.Wm82.a4.v1	886	1066	837	1543
Glyma.01G026400.Wm82.a4.v1	75	116	48	93
Glyma.01G026500.Wm82.a4.v1	129	110	84	136
Glyma.01G026600.Wm82.a4.v1	43	38	34	14
Glyma.01G026700.Wm82.a4.v1	1102	1389	439	915
Glyma.01G026800.Wm82.a4.v1	86	136	39	74
Glyma.01G026900.Wm82.a4.v1	22	0	3	5
Glyma.01G027000.Wm82.a4.v1	0	0	0	0
Glyma.01G027100.Wm82.a4.v1	0	17	2	8
Glyma.01G027200.Wm82.a4.v1	0	0	0	0
Glyma.01G027300.Wm82.a4.v1	786	623	314	651
Glyma.01G027400.Wm82.a4.v1	0	0	0	0
Glyma.01G027433.Wm82.a4.v1	0	0	0	0
Glyma.01G027466.Wm82.a4.v1	0	0	0	0
Glyma.01G027500.Wm82.a4.v1	168	307	146	302
Glyma.01G027600.Wm82.a4.v1	0	32	2	7
Glyma.01G027700.Wm82.a4.v1	116	234	85	137
Glyma.01G027800.Wm82.a4.v1	176	133	51	97
Glyma.01G027900.Wm82.a4.v1	15	0	0	0
Glyma.01G027967.Wm82.a4.v1	0	0	0	0
Glyma.01G028033.Wm82.a4.v1	0	0	0	0
Glyma.01G028100.Wm82.a4.v1	135	109	61	168
Glyma.01G028200.Wm82.a4.v1	30	0	0	2
Glyma.01G028300.Wm82.a4.v1	295	101	64	146
Glyma.01G028400.Wm82.a4.v1	0	0	0	0
Glyma.01G028500.Wm82.a4.v1	455	290	122	361
Glyma.01G028600.Wm82.a4.v1	177	191	30	117
Glyma.01G028700.Wm82.a4.v1	365	248	128	288
Glyma.01G028800.Wm82.a4.v1	169	309	86	232
Glyma.01G028900.Wm82.a4.v1	3604	2941	3176	5008
Glyma.01G029000.Wm82.a4.v1	712	459	315	619
Glyma.01G029100.Wm82.a4.v1	206	309	192	378
Glyma.01G029200.Wm82.a4.v1	5866	6192	2669	4439
Glyma.01G029250.Wm82.a4.v1	0	0	0	0
Glyma.01G029300.Wm82.a4.v1	8	5	0	0
Glyma.01G029400.Wm82.a4.v1	531	478	160	271
Glyma.01G029500.Wm82.a4.v1	350	381	161	302
Glyma.01G029600.Wm82.a4.v1	989	739	489	996
Glyma.01G029700.Wm82.a4.v1	10	38	4	15
Glyma.01G029800.Wm82.a4.v1	4023	3281	1680	3200
Glyma.01G029900.Wm82.a4.v1	13	5	3	8
Glyma.01G030000.Wm82.a4.v1	324	257	79	202
Glyma.01G030200.Wm82.a4.v1	0	0	4	3
Glyma.01G030300.Wm82.a4.v1	31	46	85	116
Glyma.01G030400.Wm82.a4.v1	255	228	87	277
Glyma.01G030500.Wm82.a4.v1	158	158	102	225
Glyma.01G030600.Wm82.a4.v1	757	354	313	575
Glyma.01G030800.Wm82.a4.v1	972	1085	385	650
Glyma.01G030900.Wm82.a4.v1	1310	775	329	1099
Glyma.01G031000.Wm82.a4.v1	0	0	0	0
Glyma.01G031300.Wm82.a4.v1	69	116	25	60
Glyma.01G031400.Wm82.a4.v1	1548	2414	805	1190
Glyma.01G031500.Wm82.a4.v1	1630	1595	2019	4750
Glyma.01G031700.Wm82.a4.v1	1337	1033	302	858
Glyma.01G031800.Wm82.a4.v1	16	14	20	18
Glyma.01G031900.Wm82.a4.v1	252	506	259	703
Glyma.01G032000.Wm82.a4.v1	750	817	122	332
Glyma.01G032100.Wm82.a4.v1	558	652	276	653
Glyma.01G032200.Wm82.a4.v1	41	52	22	14
Glyma.01G032300.Wm82.a4.v1	112	52	141	249
Glyma.01G032400.Wm82.a4.v1	22	9	8	23
Glyma.01G032500.Wm82.a4.v1	1237	1609	597	1361
Glyma.01G032600.Wm82.a4.v1	484	959	229	229
Glyma.01G032700.Wm82.a4.v1	0	0	0	0
Glyma.01G032800.Wm82.a4.v1	0	0	0	0
Glyma.01G032900.Wm82.a4.v1	31	37	32	79
Glyma.01G033000.Wm82.a4.v1	185	194	59	137
Glyma.01G033101.Wm82.a4.v1	0	0	0	0
