"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G028900.Wm82.a4.v1",3792.16487597074,0.959382943882535,0.234245136842506,4.09563654902076,4.21009988039054e-05,0.000901017229791708
"Glyma.01G030300.Wm82.a4.v1",78.2526031825226,2.06030391286815,0.602189877878056,3.42135261410914,0.000623104875956714,0.00914115394947487
"Glyma.01G031500.Wm82.a4.v1",2560.06761831344,1.60543499478634,0.210306121384667,7.63380059608378,2.27932370605235e-14,2.3594657026689e-12
"Glyma.01G032000.Wm82.a4.v1",433.491258915906,-1.27956690853189,0.306463430657665,-4.17526784773623,2.97635646472449e-05,0.000660720415893398
"Glyma.01G032300.Wm82.a4.v1",149.3006291783,1.84932608205062,0.49723995788689,3.7191823640032,0.000199868715128386,0.00349026491032722
"Glyma.01G033300.Wm82.a4.v1",214.977835464755,1.34595212033935,0.400538683502461,3.36035488150568,0.00077842412855455,0.0110148721260926
"Glyma.01G035500.Wm82.a4.v1",63.3911999970433,-1.93240928993033,0.64479601491147,-2.99693119256584,0.00272712259596261,0.0305146102030904
"Glyma.01G036000.Wm82.a4.v1",434.7887326791,1.54318308528013,0.359223772859891,4.2958824049822,1.73999807540575e-05,0.000409114316818309
"Glyma.01G036600.Wm82.a4.v1",464.063438435931,2.63645339948701,0.312364635766719,8.44030692852175,3.16505449728604e-17,4.32986165591622e-15
"Glyma.01G036900.Wm82.a4.v1",5647.98043458315,3.08483129221837,0.228600214179913,13.4944374539848,1.68637411927762e-41,1.28015635348692e-38
"Glyma.01G037200.Wm82.a4.v1",617.638621707236,4.40197237778168,0.313885274830515,14.0241442678653,1.10942255390733e-44,1.07378235436306e-41
"Glyma.01G038300.Wm82.a4.v1",102.197654420053,2.18467500021661,0.689145878102295,3.17011981009386,0.00152376094153218,0.0190975736003296
"Glyma.01G038600.Wm82.a4.v1",299.35979892159,-1.62687746284259,0.344187163547057,-4.72672323417478,2.28171924081066e-06,6.79513541599881e-05
"Glyma.01G039600.Wm82.a4.v1",82.7722576733433,-1.90858331801053,0.577890574418297,-3.30267251707938,0.000957681587255836,0.0130966593608653
"Glyma.01G040400.Wm82.a4.v1",265.579609740298,1.25304637861778,0.360662847373266,3.47428737876331,0.000512212127406974,0.00778880302928555
"Glyma.01G040700.Wm82.a4.v1",257.421854171189,-1.16217787973469,0.406335601362708,-2.86014288641495,0.00423450170153,0.0430398354882474
"Glyma.01G041700.Wm82.a4.v1",387.69938450917,-0.988048590768028,0.312972463560993,-3.1569825010355,0.00159410912407607,0.0198124991135168
"Glyma.01G043600.Wm82.a4.v1",208.493435979556,-1.14341702539051,0.382782203992047,-2.98712169339582,0.00281617597116577,0.0312580999781201
"Glyma.01G044100.Wm82.a4.v1",308.170786350441,2.05087509705573,0.333443789777839,6.1505871751942,7.71966133389289e-10,4.38864447197743e-08
"Glyma.01G044600.Wm82.a4.v1",1454.17537762461,-1.01318306293121,0.23915175536831,-4.23656962655716,2.2696056388324e-05,0.000518700013620993
"Glyma.01G045400.Wm82.a4.v1",154.349486028674,-1.36891120982272,0.448224798870174,-3.05407289662083,0.00225757217149194,0.0261760726622673
"Glyma.01G046500.Wm82.a4.v1",238.452276007662,1.48319353558993,0.385078967897486,3.85166072218408,0.000117319491586926,0.00220593691927531
"Glyma.01G046700.Wm82.a4.v1",865.733923385411,-0.736940610030189,0.262333227259112,-2.80917754006928,0.0049668247761265,0.0487058311063165
"Glyma.01G047700.Wm82.a4.v1",643.786207789927,0.946559178653972,0.287740568458078,3.28962712392736,0.00100320228466332,0.0135895648882927
"Glyma.01G048500.Wm82.a4.v1",452.291055212004,1.12342492233221,0.330255189135681,3.40168742018059,0.000669711896810158,0.00970128696195206
"Glyma.01G048800.Wm82.a4.v1",173.356373818412,-1.52788590239645,0.423614669641227,-3.60678232340363,0.000310017520296009,0.00509494387963356
"Glyma.01G050100.Wm82.a4.v1",403.70137539371,-1.68735051042423,0.418122355998581,-4.0355424344494,5.44762922157158e-05,0.00113146440618639
"Glyma.01G053800.Wm82.a4.v1",139.292410980159,1.30028558307625,0.44912561908479,2.89514899133547,0.00378978607857033,0.0395475924614152
